iter	Passed	Remaining
0	334	16369
1	784	18820
2	1276	20005
3	1721	19799
4	2139	19256
5	2486	18236
6	3734	22942
7	4148	21777
8	4546	20712
9	5001	20005
10	5375	19058
11	5744	18191
12	6076	17294
13	6398	16453
14	6727	15696
15	7040	14960
16	7559	14675
17	7953	14140
18	8327	13587
19	8660	12990
20	8990	12414
21	9861	12550
22	11504	13504
23	12010	13011
24	12444	12444
25	12799	11815
26	13226	11266
27	13555	10650
28	14414	10438
29	15044	10029
30	15662	9599
31	16699	9393
32	17226	8874
33	17693	8326
34	18115	7763
35	18646	7251
36	19559	6872
37	20493	6471
38	20932	5904
39	21502	5375
40	22052	4840
41	22504	4286
42	22846	3719
43	23529	3208
44	24132	2681
45	24964	2170
46	26000	1659
47	27046	1126
48	27521	561
49	28139	0
